Flight Number,Airline,Destination,Class,Price ($),Status,Departure Time
FL6161,ITA Airways,Dubai,Business,743.19,Cancelled,17:21
FL2425,Lufthansa,Berlin,Economy,57.51,On Time,06:17
FL9081,ITA Airways,Dubai,First Class,3738.44,Cancelled,14:43
FL9038,Kuwait Airways,Paris,Economy,213.6,Delayed,04:50
FL9929,Qatar Airways,Madrid,Economy,231.42,Delayed,04:38
FL7138,Lufthansa,Paris,First Class,1794.39,On Time,05:33
FL8065,Air Algerie,Doha,Economy,60.12,On Time,00:09
FL1065,ITA Airways,Paris,Economy,293.14,Cancelled,05:30
FL4316,ITA Airways,Dubai,Business,569.38,Cancelled,19:49
FL3359,Emirates,Paris,Business,778.2,On Time,14:17
FL3427,Air Algerie,New York,Economy,138.92,On Time,04:24
FL2207,Air Algerie,New York,Business,842.49,Cancelled,03:46
FL2769,Air France,Berlin,Business,490.81,Delayed,13:03
FL1306,ITA Airways,New York,Economy,287.61,Cancelled,01:38
FL9241,ITA Airways,Algiers,First Class,3301.52,Delayed,21:21
FL2620,Qatar Airways,New York,First Class,4344.56,Cancelled,15:25
FL8569,Air France,Kuwait City,First Class,1976.56,Delayed,12:49
FL2696,Lufthansa,Kuwait City,Economy,135.33,Delayed,14:36
FL1138,ITA Airways,Madrid,Business,930.19,Cancelled,19:19
FL8254,Air Algerie,New York,Economy,219.09,On Time,13:38
FL9976,Air France,New York,Business,854.97,Cancelled,11:35
FL7845,ITA Airways,Dubai,Economy,102.37,Cancelled,01:03
FL6470,Air Algerie,Paris,First Class,3369.93,On Time,00:16
FL8108,Qatar Airways,Madrid,First Class,2078.1,Cancelled,17:13
FL8897,Lufthansa,Madrid,Business,515.01,Delayed,17:40
FL5783,Qatar Airways,Berlin,Economy,152.56,On Time,01:54
FL5507,ITA Airways,Paris,Business,747.08,Delayed,11:02
FL6224,Air France,Doha,Economy,58.14,On Time,22:09
FL7725,Emirates,Kuwait City,Economy,272.58,Cancelled,02:16
FL7355,Emirates,Paris,Economy,57.89,On Time,04:42
FL5086,Qatar Airways,Berlin,First Class,3897.31,Cancelled,19:11
FL2541,Emirates,Rome,Economy,295.81,Delayed,14:07
FL3170,Lufthansa,Algiers,Business,407.28,Delayed,05:33
FL1849,Emirates,Berlin,Economy,92.45,Cancelled,21:26
FL5453,Air France,Algiers,Economy,271.85,Cancelled,11:35
FL2415,Lufthansa,Madrid,Economy,203.66,On Time,13:48
FL1658,Kuwait Airways,Algiers,First Class,1869.32,Delayed,21:13
FL9311,Lufthansa,Kuwait City,Economy,102.98,Cancelled,13:19
FL1396,Qatar Airways,Dubai,Economy,139.23,Cancelled,00:00
FL1126,Air France,Dubai,Business,466.13,On Time,20:56
FL8538,Air Algerie,Madrid,First Class,3577.57,Delayed,13:59
FL4036,Air France,Berlin,First Class,2975.43,Delayed,20:50
FL7221,Lufthansa,Berlin,Business,592.48,Delayed,01:42
FL7769,Kuwait Airways,Algiers,Economy,192.34,Cancelled,02:49
FL1572,Qatar Airways,Kuwait City,Economy,122.16,Delayed,20:10
FL4169,Qatar Airways,Berlin,Business,883.33,Delayed,08:08
FL4959,Kuwait Airways,Berlin,Business,926.71,Cancelled,20:31
FL5336,Air France,Rome,Business,953.35,Cancelled,18:13
FL8842,Air Algerie,New York,Economy,283.13,On Time,10:23
FL6328,Lufthansa,Kuwait City,Business,686.27,On Time,00:23
FL6275,Qatar Airways,New York,Business,733.54,On Time,09:36
FL7392,Air France,Rome,Economy,142.66,Cancelled,00:26
FL7110,ITA Airways,New York,First Class,1261.8,Cancelled,22:10
FL5150,Air Algerie,New York,Economy,65.39,Delayed,04:42
FL7661,Air France,New York,Economy,173.55,Delayed,02:19
FL3026,Kuwait Airways,Dubai,Economy,63.85,On Time,10:54
FL7566,Emirates,Doha,First Class,1878.77,Cancelled,00:49
FL5427,Qatar Airways,Paris,Business,832.48,Cancelled,20:57
FL3191,Air Algerie,Doha,Economy,163.93,On Time,08:20
FL1344,Qatar Airways,Dubai,Economy,68.6,Delayed,00:13
FL5783,Lufthansa,New York,Business,915.43,Delayed,19:40
FL3247,Air France,Algiers,First Class,1734.51,On Time,07:50
FL9551,Qatar Airways,Rome,Business,967.09,Cancelled,11:13
FL1935,ITA Airways,Berlin,Economy,172.6,On Time,18:14
FL5195,Air Algerie,Doha,Business,987.11,Cancelled,05:39
FL1745,Air France,Kuwait City,Business,750.79,Delayed,04:41
FL3136,Air Algerie,Kuwait City,Economy,161.77,On Time,09:09
FL4024,Lufthansa,Berlin,Business,445.98,On Time,19:35
FL5797,Emirates,Paris,Business,879.32,Cancelled,15:01
FL7509,Kuwait Airways,Algiers,Economy,160.18,On Time,23:52
FL9065,Qatar Airways,Madrid,Business,873.22,Delayed,15:05
FL4191,Kuwait Airways,Kuwait City,First Class,3821.41,On Time,09:53
FL9711,Qatar Airways,Rome,Business,620.46,Delayed,13:38
FL9452,ITA Airways,Rome,First Class,2585.34,On Time,01:15
FL2137,Kuwait Airways,Algiers,First Class,2726.49,On Time,04:21
FL7323,Emirates,Paris,Business,969.64,On Time,16:57
FL8833,Qatar Airways,Berlin,First Class,3395.44,Cancelled,14:52
